flag,component,datasheet,galopago_en,galopago_es,hackster,instructables,hackaday
n,RAK WIRELESS RAK811 LoRa module,https://github.com/galopago/logistic/blob/master/datasheet/RAK811_LoRa_Module_Datasheet_V1.4.pdf,https://s.click.aliexpress.com/e/_eOuZFX,https://s.click.aliexpress.com/e/_eOuZFX,https://s.click.aliexpress.com/e/_A7M1s9,https://s.click.aliexpress.com/e/_AXDoBr,https://s.click.aliexpress.com/e/_AWN8Zx
n,83x58x33mm enclosure box,https://github.com/galopago/logistic/blob/master/datasheet/AK10019-A1.pdf,https://s.click.aliexpress.com/e/_Ad6Gxn,https://s.click.aliexpress.com/e/_9Jc9hX,https://s.click.aliexpress.com/e/_A4HzXF,https://s.click.aliexpress.com/e/_AaM4Uh,https://s.click.aliexpress.com/e/_A4cNuV
n,M2.6 self-tapping B-type screw,https://github.com/galopago/logistic/blob/master/datasheet/M2.6x5-6-8-12mm.pdf,https://s.click.aliexpress.com/e/_eOJ3Kd,https://s.click.aliexpress.com/e/_esHHyb,https://s.click.aliexpress.com/e/_9Aq3ap,https://s.click.aliexpress.com/e/_9RqiGZ,https://s.click.aliexpress.com/e/_97KZ4N
n,Single AA battery holder for PCB,https://github.com/galopago/logistic/blob/master/datasheet/BH311.pdf,https://s.click.aliexpress.com/e/_eLS8qh,https://s.click.aliexpress.com/e/_eLNd1H,https://s.click.aliexpress.com/e/_AojB05,https://s.click.aliexpress.com/e/_AqVcSd,https://s.click.aliexpress.com/e/_ACD2az
n,Screw terminal kf350 3.5mm 3 pin,https://github.com/galopago/logistic/blob/master/datasheet/KF350.pdf,https://s.click.aliexpress.com/e/_eKkaWv,https://s.click.aliexpress.com/e/_eLjzKB,https://s.click.aliexpress.com/e/_A8CZ05,https://s.click.aliexpress.com/e/_9J0dwv,https://s.click.aliexpress.com/e/_ASS0Jr
n,Spring antenna for 433-868-915 MHz,https://github.com/galopago/logistic/blob/master/datasheet/SW915-TH12.pdf,https://s.click.aliexpress.com/e/_eNNciZ,https://s.click.aliexpress.com/e/_eMkqgn,https://s.click.aliexpress.com/e/_98i2JR,https://s.click.aliexpress.com/e/_AEz0E5,https://s.click.aliexpress.com/e/_9yC8PB
n,Female header 2.54mm,https://github.com/galopago/logistic/blob/master/datasheet/FHA3-S1XX.pdf,https://s.click.aliexpress.com/e/_eNNciZ,https://s.click.aliexpress.com/e/_eNYVzN,https://s.click.aliexpress.com/e/_AAOlyN,https://s.click.aliexpress.com/e/_AqiOQz,https://s.click.aliexpress.com/e/_9Ic5Kv
n,Male pin header 2.54mm,https://github.com/galopago/logistic/blob/master/datasheet/PHA1-S3XX.pdf,https://s.click.aliexpress.com/e/_eMCUJv,https://s.click.aliexpress.com/e/_eP34IL,https://s.click.aliexpress.com/e/_A7RzJF,https://s.click.aliexpress.com/e/_A57fjL,https://s.click.aliexpress.com/e/_97J4Bf
n,30 AWG wire wrap UL1423 PVDF,https://github.com/galopago/logistic/blob/master/datasheet/UL1423.pdf,https://s.click.aliexpress.com/e/_eMiimB,https://s.click.aliexpress.com/e/_eL2EYB,https://s.click.aliexpress.com/e/_AAHJkl,https://s.click.aliexpress.com/e/_9ApJIh,https://s.click.aliexpress.com/e/_A08wAN
n,U.FL smd antenna conector,https://github.com/galopago/logistic/blob/master/datasheet/6474011114.pdf,https://s.click.aliexpress.com/e/_eLJ9zD,https://s.click.aliexpress.com/e/_esRDv9,https://s.click.aliexpress.com/e/_ABQYDF,https://s.click.aliexpress.com/e/_Arc7Fb,https://s.click.aliexpress.com/e/_Aa4Y0Z
n,Plastic small reed switch,https://github.com/galopago/logistic/blob/master/datasheet/GPS-11A.pdf,https://s.click.aliexpress.com/e/_eOoX6T,https://s.click.aliexpress.com/e/_eMfNwB,https://s.click.aliexpress.com/e/_9Au2zj,https://s.click.aliexpress.com/e/_AfIQTn,https://s.click.aliexpress.com/e/_AK20dx
n,Magnet with screw tabs,https://github.com/galopago/logistic/blob/master/datasheet/MC-38.pdf,https://s.click.aliexpress.com/e/_eOmX4J,https://s.click.aliexpress.com/e/_eNjkcJ,https://s.click.aliexpress.com/e/_A96Bjj,https://s.click.aliexpress.com/e/_A0Jw41,https://s.click.aliexpress.com/e/_97odf3
n,Vibration spring sensor,https://github.com/galopago/logistic/blob/master/datasheet/SW-18015p.pdf,https://s.click.aliexpress.com/e/_etYDMP,https://s.click.aliexpress.com/e/_eNnywb,https://s.click.aliexpress.com/e/_At4nIh,https://s.click.aliexpress.com/e/_AmVUkh,https://s.click.aliexpress.com/e/_AsryM1
n,Tilt ball sensor,https://github.com/galopago/logistic/blob/master/datasheet/SW-200D.pdf,https://s.click.aliexpress.com/e/_etYDMP,https://s.click.aliexpress.com/e/_eMEXVd,https://s.click.aliexpress.com/e/_A0i9QZ,https://s.click.aliexpress.com/e/_AAGCkD,https://s.click.aliexpress.com/e/_ANugqN
n,1/4W 1% TH Resistors,https://github.com/galopago/logistic/blob/master/datasheet/MGR-SERIES.pdf,https://s.click.aliexpress.com/e/_eMCbH1,https://s.click.aliexpress.com/e/_etm4gJ,https://s.click.aliexpress.com/e/_9gL8Ff,https://s.click.aliexpress.com/e/_A5AhsN,https://s.click.aliexpress.com/e/_AgdGdj
n,3mm led,https://github.com/galopago/logistic/blob/master/datasheet/1254-10SYGD.pdf,https://s.click.aliexpress.com/e/_eMDYML,https://s.click.aliexpress.com/e/_eN09ER,https://s.click.aliexpress.com/e/_AaShNX,https://s.click.aliexpress.com/e/_AEnBlr,https://s.click.aliexpress.com/e/_AWoQxn
n,Push button 6x6mm,https://github.com/galopago/logistic/blob/master/datasheet/TS-1301.pdf,https://s.click.aliexpress.com/e/_eKd4YV,https://s.click.aliexpress.com/e/_etiG5l,https://s.click.aliexpress.com/e/_9fBC0t,https://s.click.aliexpress.com/e/_A6gPod,https://s.click.aliexpress.com/e/_AeGw0D
n,ESP8266 NodeMCU V3,https://github.com/galopago/logistic/blob/master/datasheet/NodeMCUV3.pdf,https://s.click.aliexpress.com/e/_As5zmb,https://s.click.aliexpress.com/e/_AKwJKn,https://s.click.aliexpress.com/e/_99lL9D,https://s.click.aliexpress.com/e/_AMCXjN,https://s.click.aliexpress.com/e/_AUOtib
n,WS2811 waterproof LED string,https://github.com/galopago/logistic/blob/master/datasheet/WS2811_WATERPROOF_LED_STRING.pdf,https://s.click.aliexpress.com/e/_AWaLpZ,https://s.click.aliexpress.com/e/_AFqDHl,https://s.click.aliexpress.com/e/_A3psfD,https://s.click.aliexpress.com/e/_AbjJPz,https://s.click.aliexpress.com/e/_A47dhv
n,Switched power supply 5V 3.8A 20W,https://github.com/galopago/logistic/blob/master/datasheet/5V_4A_switching_power.pdf,https://s.click.aliexpress.com/e/_9gYBnH,https://s.click.aliexpress.com/e/_A57h4j,https://s.click.aliexpress.com/e/_AoAb2L,https://s.click.aliexpress.com/e/_AFX8u7,https://s.click.aliexpress.com/e/_9Ac3Sx
n,200x120x75mm enclosure box,https://github.com/galopago/logistic/blob/master/datasheet/g373_g269.pdf,https://s.click.aliexpress.com/e/_ASuE1N,https://s.click.aliexpress.com/e/_A2ZqFz,https://s.click.aliexpress.com/e/_AszBaT,https://s.click.aliexpress.com/e/_97ecTD,https://s.click.aliexpress.com/e/_AWNqc7
n,M3 countersunk phillips screw,https://github.com/galopago/logistic/blob/master/datasheet/M2-M10_Stainless_steel_304_countersunk_screw_flat_head_phillips.pdf,https://s.click.aliexpress.com/e/_AoOvPz,https://s.click.aliexpress.com/e/_AaJKaL,https://s.click.aliexpress.com/e/_A0f6sT,https://s.click.aliexpress.com/e/_AqRPRl,https://s.click.aliexpress.com/e/_AkzXj5
n,M3 hex flanged nut DIN6923,https://github.com/galopago/logistic/blob/master/datasheet/FLANGED_NUT_3MM_DIN6923.pdf,https://s.click.aliexpress.com/e/_9g89th,https://s.click.aliexpress.com/e/_9AB0mF,https://s.click.aliexpress.com/e/_Ar7NN1,https://s.click.aliexpress.com/e/_AlKIEf,https://s.click.aliexpress.com/e/_9HORS7
n,Nylon spacer G228,https://github.com/galopago/logistic/blob/master/datasheet/G228.pdf,https://s.click.aliexpress.com/e/_A7PPYf,https://s.click.aliexpress.com/e/_AqHnWn,https://s.click.aliexpress.com/e/_9wtV1D,https://s.click.aliexpress.com/e/_9Gv38X,https://s.click.aliexpress.com/e/_A7PDPd
n,Cable gland PG7 or PG9,https://github.com/galopago/logistic/blob/master/datasheet/pg_7.pdf,https://s.click.aliexpress.com/e/_9z6Z4r,https://s.click.aliexpress.com/e/_9AvHyT,https://s.click.aliexpress.com/e/_A5Q1mL,https://s.click.aliexpress.com/e/_AUcH0n,https://s.click.aliexpress.com/e/_ApeA6P
n,3 pin waterproof cable connector for LED string,https://github.com/galopago/logistic/blob/master/datasheet/Waterproof_led_string_connector.pdf,https://s.click.aliexpress.com/e/_AesJgr,https://s.click.aliexpress.com/e/_AMoPnv,https://s.click.aliexpress.com/e/_9REzgR,https://s.click.aliexpress.com/e/_A3FTDh,https://s.click.aliexpress.com/e/_Aq6O6f
